0.5460 	WARNING 	Movie2 stim could not be imported and won't be available
147.0505 	EXP 	LowerText: text = ' d k y m w f '
147.0505 	EXP 	LowerBrackets: text = '      { }    '
147.0505 	EXP 	TopUpperLine: autoDraw = True
147.0505 	EXP 	UpperText: autoDraw = True
147.0505 	EXP 	UpperBrackets: autoDraw = True
147.0505 	EXP 	BotUpperLine: autoDraw = True
147.0505 	EXP 	TopLowerLine: autoDraw = True
147.0505 	EXP 	BotLowerLine: autoDraw = True
147.0505 	EXP 	TrialCrossHair: autoDraw = True
147.0507 	EXP 	window1: recordFrameIntervals = False
149.0011 	EXP 	UpperText: autoDraw = False
149.0011 	EXP 	UpperBrackets: autoDraw = False
154.0029 	EXP 	LowerText: autoDraw = True
154.0029 	EXP 	LowerBrackets: autoDraw = True
155.2206 	DATA 	Keypress: right
156.0037 	EXP 	LowerText: autoDraw = False
156.0037 	EXP 	LowerBrackets: autoDraw = False
156.0037 	EXP 	TrialCrossHair: autoDraw = False
156.0037 	EXP 	RestCrossHair: autoDraw = True
159.9904 	EXP 	New trial (rep=0, index=1): {'RetDur': 5, 'BotBrack': 1, 'StimDur': 2, 'UpBrack': 12345, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4, 'StimSet': 'KMWQTH', 'RetStart': 2, 'ProbeLet': 'xljbgr', 'TrialITIDur': 13, 'Correct': 'right'}
160.0328 	EXP 	window1: recordFrameIntervals = False
160.0551 	EXP 	TopUpperLine: autoDraw = False
160.0551 	EXP 	BotUpperLine: autoDraw = False
160.0551 	EXP 	TopLowerLine: autoDraw = False
160.0551 	EXP 	BotLowerLine: autoDraw = False
160.0551 	EXP 	RestCrossHair: autoDraw = False
160.0551 	EXP 	TopUpperLine: autoDraw = False
160.0551 	EXP 	UpperText: autoDraw = False
160.0551 	EXP 	UpperBrackets: autoDraw = False
160.0551 	EXP 	BotUpperLine: autoDraw = False
160.0551 	EXP 	TopLowerLine: autoDraw = False
160.0551 	EXP 	LowerText: autoDraw = False
160.0551 	EXP 	LowerBrackets: autoDraw = False
160.0551 	EXP 	BotLowerLine: autoDraw = False
160.0551 	EXP 	TrialCrossHair: autoDraw = False
160.0551 	EXP 	RestCrossHair: autoDraw = False
160.0551 	EXP 	UpperText: text = ' K M W Q T H '
160.0551 	EXP 	UpperBrackets: text = '{         }  '
160.0551 	EXP 	LowerText: text = ' x l j b g r '
160.0551 	EXP 	LowerBrackets: text = '{ }          '
160.0551 	EXP 	TopUpperLine: autoDraw = True
160.0551 	EXP 	UpperText: autoDraw = True
160.0551 	EXP 	UpperBrackets: autoDraw = True
160.0551 	EXP 	BotUpperLine: autoDraw = True
160.0551 	EXP 	TopLowerLine: autoDraw = True
160.0551 	EXP 	BotLowerLine: autoDraw = True
160.0551 	EXP 	TrialCrossHair: autoDraw = True
160.0553 	EXP 	window1: recordFrameIntervals = False
162.0061 	EXP 	UpperText: autoDraw = False
162.0061 	EXP 	UpperBrackets: autoDraw = False
167.0083 	EXP 	LowerText: autoDraw = True
167.0083 	EXP 	LowerBrackets: autoDraw = True
168.9596 	DATA 	Keypress: right
169.0089 	EXP 	LowerText: autoDraw = False
169.0089 	EXP 	LowerBrackets: autoDraw = False
169.0089 	EXP 	TrialCrossHair: autoDraw = False
169.0089 	EXP 	RestCrossHair: autoDraw = True
172.9948 	EXP 	New trial (rep=0, index=2): {'RetDur': 5, 'BotBrack': 0, 'StimDur': 2, 'UpBrack': 23456, 'ProbeDurITI': 4, 'ProbeDur': 0, 'ProbeStart': 7, 'TrialDur': 7, 'ITI': 4, 'StimSet': 'QFNXWJ', 'RetStart': 2, 'ProbeLet': ' ', 'TrialITIDur': 11, 'Correct': 'none'}
173.0139 	EXP 	window1: recordFrameIntervals = False
173.0266 	EXP 	TopUpperLine: autoDraw = False
173.0266 	EXP 	BotUpperLine: autoDraw = False
173.0266 	EXP 	TopLowerLine: autoDraw = False
173.0266 	EXP 	BotLowerLine: autoDraw = False
173.0266 	EXP 	RestCrossHair: autoDraw = False
173.0266 	EXP 	TopUpperLine: autoDraw = False
173.0266 	EXP 	UpperText: autoDraw = False
173.0266 	EXP 	UpperBrackets: autoDraw = False
173.0266 	EXP 	BotUpperLine: autoDraw = False
173.0266 	EXP 	TopLowerLine: autoDraw = False
173.0266 	EXP 	LowerText: autoDraw = False
173.0266 	EXP 	LowerBrackets: autoDraw = False
173.0266 	EXP 	BotLowerLine: autoDraw = False
173.0266 	EXP 	TrialCrossHair: autoDraw = False
173.0266 	EXP 	RestCrossHair: autoDraw = False
173.0266 	EXP 	UpperText: text = ' Q F N X W J '
173.0266 	EXP 	UpperBrackets: text = '  {         }'
173.0266 	EXP 	LowerText: text = '   '
173.0266 	EXP 	LowerBrackets: text = ''
173.0266 	EXP 	TopUpperLine: autoDraw = True
173.0266 	EXP 	UpperText: autoDraw = True
173.0266 	EXP 	UpperBrackets: autoDraw = True
173.0266 	EXP 	BotUpperLine: autoDraw = True
173.0266 	EXP 	TopLowerLine: autoDraw = True
173.0266 	EXP 	BotLowerLine: autoDraw = True
173.0266 	EXP 	TrialCrossHair: autoDraw = True
173.0269 	EXP 	window1: recordFrameIntervals = False
175.0112 	EXP 	UpperText: autoDraw = False
175.0112 	EXP 	UpperBrackets: autoDraw = False
