62.3729 	EXP 	RestCrossHair: autoDraw = False
62.3729 	EXP 	TopUpperLine: autoDraw = False
62.3729 	EXP 	UpperText: autoDraw = False
62.3729 	EXP 	UpperBrackets: autoDraw = False
62.3729 	EXP 	BotUpperLine: autoDraw = False
62.3729 	EXP 	TopLowerLine: autoDraw = False
62.3729 	EXP 	LowerText: autoDraw = False
62.3729 	EXP 	LowerBrackets: autoDraw = False
62.3729 	EXP 	BotLowerLine: autoDraw = False
62.3729 	EXP 	TrialCrossHair: autoDraw = False
62.3729 	EXP 	RestCrossHair: autoDraw = False
62.3729 	EXP 	FeedbackMsg: text = 'Correct! RT=1.035'
62.3729 	EXP 	FeedbackMsg: autoDraw = True
63.8738 	EXP 	FeedbackMsg: autoDraw = False
63.8738 	EXP 	RestCrossHair: autoDraw = True
64.8583 	EXP 	New trial (rep=0, index=4): {'RetDur': 5, 'BotBrack': 0, 'StimDur': 2, 'UpBrack': 5, 'ProbeDurITI': 4.7290000000000001, 'ProbeDur': 0, 'ProbeStart': 7, 'TrialDur': 7, 'ITI': 4.7290000000000001, 'StimSet': u'JXKMYH', 'RetStart': 2, 'ProbeLet': u' ', 'TrialITIDur': 11.729000000000001, 'Correct': u'none'}
64.8805 	EXP 	window1: recordFrameIntervals = False
64.8906 	EXP 	RestCrossHair: autoDraw = False
64.8906 	EXP 	UpperText: text = u' J X K M Y H '
64.8906 	EXP 	UpperBrackets: text = '        { }  '
64.8906 	EXP 	LowerText: text = u'   '
64.8906 	EXP 	LowerBrackets: text = ''
64.8906 	EXP 	TopUpperLine: autoDraw = True
64.8906 	EXP 	UpperText: autoDraw = True
64.8906 	EXP 	UpperBrackets: autoDraw = True
64.8906 	EXP 	BotUpperLine: autoDraw = True
64.8906 	EXP 	TopLowerLine: autoDraw = True
64.8906 	EXP 	BotLowerLine: autoDraw = True
64.8906 	EXP 	TrialCrossHair: autoDraw = True
64.8908 	EXP 	window1: recordFrameIntervals = False
66.8754 	EXP 	UpperText: autoDraw = False
66.8754 	EXP 	UpperBrackets: autoDraw = False
71.8779 	EXP 	LowerText: autoDraw = True
71.8779 	EXP 	LowerBrackets: autoDraw = True
71.8779 	EXP 	TrialCrossHair: autoDraw = False
71.8779 	EXP 	RestCrossHair: autoDraw = True
71.8946 	EXP 	LowerText: autoDraw = False
71.8946 	EXP 	LowerBrackets: autoDraw = False
76.5972 	EXP 	TopUpperLine: autoDraw = False
76.5972 	EXP 	BotUpperLine: autoDraw = False
76.5972 	EXP 	TopLowerLine: autoDraw = False
76.5972 	EXP 	BotLowerLine: autoDraw = False
76.5972 	EXP 	RestCrossHair: autoDraw = False
76.5972 	EXP 	TopUpperLine: autoDraw = False
76.5972 	EXP 	UpperText: autoDraw = False
76.5972 	EXP 	UpperBrackets: autoDraw = False
76.5972 	EXP 	BotUpperLine: autoDraw = False
76.5972 	EXP 	TopLowerLine: autoDraw = False
76.5972 	EXP 	LowerText: autoDraw = False
76.5972 	EXP 	LowerBrackets: autoDraw = False
76.5972 	EXP 	BotLowerLine: autoDraw = False
76.5972 	EXP 	TrialCrossHair: autoDraw = False
76.5972 	EXP 	RestCrossHair: autoDraw = False
76.5972 	EXP 	FeedbackMsg: text = 'No response, good!'
76.5972 	EXP 	FeedbackMsg: autoDraw = True
78.0981 	EXP 	FeedbackMsg: autoDraw = False
78.0981 	EXP 	RestCrossHair: autoDraw = True
79.0824 	EXP 	New trial (rep=0, index=5): {'RetDur': 5, 'BotBrack': 6, 'StimDur': 2, 'UpBrack': 12, 'ProbeDurITI': 6.0170000000000003, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4.0169999999999995, 'StimSet': u'KNTYRB', 'RetStart': 2, 'ProbeLet': u'jfgldw', 'TrialITIDur': 13.017000000000001, 'Correct': u'right'}
79.1127 	EXP 	window1: recordFrameIntervals = False
79.1320 	EXP 	RestCrossHair: autoDraw = False
79.1320 	EXP 	UpperText: text = u' K N T Y R B '
79.1320 	EXP 	UpperBrackets: text = '{   }        '
79.1320 	EXP 	LowerText: text = u' j f g l d w '
79.1320 	EXP 	LowerBrackets: text = '          { }'
79.1320 	EXP 	TopUpperLine: autoDraw = True
79.1320 	EXP 	UpperText: autoDraw = True
79.1320 	EXP 	UpperBrackets: autoDraw = True
79.1320 	EXP 	BotUpperLine: autoDraw = True
79.1320 	EXP 	TopLowerLine: autoDraw = True
79.1320 	EXP 	BotLowerLine: autoDraw = True
79.1320 	EXP 	TrialCrossHair: autoDraw = True
79.1322 	EXP 	window1: recordFrameIntervals = False
81.0997 	EXP 	UpperText: autoDraw = False
81.0997 	EXP 	UpperBrackets: autoDraw = False
86.1022 	EXP 	LowerText: autoDraw = True
86.1022 	EXP 	LowerBrackets: autoDraw = True
87.1366 	DATA 	Keypress: right
88.1032 	EXP 	LowerText: autoDraw = False
88.1032 	EXP 	LowerBrackets: autoDraw = False
88.1032 	EXP 	TrialCrossHair: autoDraw = False
88.1032 	EXP 	RestCrossHair: autoDraw = True
92.1053 	EXP 	TopUpperLine: autoDraw = False
92.1053 	EXP 	BotUpperLine: autoDraw = False
92.1053 	EXP 	TopLowerLine: autoDraw = False
92.1053 	EXP 	BotLowerLine: autoDraw = False
92.1053 	EXP 	RestCrossHair: autoDraw = False
92.1053 	EXP 	TopUpperLine: autoDraw = False
92.1053 	EXP 	UpperText: autoDraw = False
92.1053 	EXP 	UpperBrackets: autoDraw = False
92.1053 	EXP 	BotUpperLine: autoDraw = False
92.1053 	EXP 	TopLowerLine: autoDraw = False
92.1053 	EXP 	LowerText: autoDraw = False
92.1053 	EXP 	LowerBrackets: autoDraw = False
92.1053 	EXP 	BotLowerLine: autoDraw = False
92.1053 	EXP 	TrialCrossHair: autoDraw = False
92.1053 	EXP 	RestCrossHair: autoDraw = False
92.1053 	EXP 	FeedbackMsg: text = 'Correct! RT=1.051'
92.1053 	EXP 	FeedbackMsg: autoDraw = True
93.6059 	EXP 	FeedbackMsg: autoDraw = False
93.6059 	EXP 	RestCrossHair: autoDraw = True
94.5903 	EXP 	New trial (rep=0, index=6): {'RetDur': 5, 'BotBrack': 4, 'StimDur': 2, 'UpBrack': 34, 'ProbeDurITI': 6.4860000000000007, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4.4860000000000007, 'StimSet': u'HQDTGF', 'RetStart': 2, 'ProbeLet': u'lbwnrx', 'TrialITIDur': 13.485999999999999, 'Correct': u'right'}
94.6226 	EXP 	window1: recordFrameIntervals = False
